BASE_CATEGORY,HIGH_LEVEL_CATEGORY,LOW_LEVEL_CATEGORY
abbey,outside,city
airport_terminal,inside,commercial
alley,outside,city
amphitheater,outside,city
amusement_park,outside,city
apartment_building,outside,city
aquarium,inside,commercial
aqueduct,outside,city
arch,outside,city
art_gallery,inside,commercial
art_studio,inside,commercial
assembly_line,inside,commercial
attic,inside,residential
auditorium,inside,commercial
badlands,outside,nature
bakery,inside,commercial
ballroom,inside,commercial
bamboo_forest,outside,nature
banquet hall,inside,commercial
bar,inside,commercial
baseball_field,outside,city
basement,inside,residential
basilica,outside,city
bayou,outside,nature
beauty_salon,inside,commercial
bedroom,inside,residential
broadwalk,outside,nature
boat_deck,inside,commercial
bookstore,inside,commercial
botanical_garden,outside,nature
bowling_alley,inside,commercial
boxing_ring,inside,commercial
bridge,outside,nature
building_facade,outside,city
bus interior,inside,commercial
butchers_shop,inside,commercial
butte,outside,nature
cafeteria,inside,commercial
campsite,outside,nature
candy_store,inside,commercial
canyon,outside,nature
castle,outside,city
cathedral,outside,city
cemetry,outside,city
chalet,outside,nature
church,outside,city
classroom,inside,commercial
closet,inside,residential
clothing_store,inside,commercial
coast,outside,nature
cockpit,inside,commercial
coffe_shop,inside,commercial
conference_center,inside,commercial
construction_room,inside,commercial
construction_site,outside,city
corn_field,outside,nature
corridor,inside,commercial
cottage_garden,outside,city
courthouse,outside,city
courtyard,outside,city
creek,outside,nature
crevasse,outside,nature
crosswalk,outside,city
dam,outside,city
desert,outside,nature
dinette,inside,residential
dining_room,inside,residential
dock,outside,nature
doorway,outside,city
dorm_room,inside,residential
driveway,inside,residential
engine_room,inside,commercial
excavation,outside,city
fairway,outside,nature
field,outside,nature
fire_escape,outside,city
fire_station,outside,city
food_court,inside,commercial
forest_path,outside,nature
forest_road,outside,nature
formal_garden,outside,nature
fountain,outside,city
galley,inside,residential
game_room,inside,commercial
garbage_dump,outside,city
gas_station,outside,city
gift_shop,inside,commercial
golf_course,outside,city
harbor,outside,city
herb_garden,outside,nature
highway,outside,city
home_office,inside,residential
hospital,inside,commercial
hospital_room,inside,residential
hot_spring,outside,nature
hotel,outside,city
hotel_room,inside,commercial
ice_cream_parlor,inside,commercial
ice_skating_rink,inside,commercial
iceberg,outside,nature
igloo,outside,nature
inn,outside,city
islet,outside,nature
jail_cell,inside,commercial
kasbah,outside,city
kindergarden_classroom,inside,commercial
kitchen,inside,residential
kitchenette,inside,residential
laundromat,inside,commercial
lighthouse,outside,city
living_room,inside,residential
lobby,inside,commercial
locker_room,inside,commercial
mansion,outside,city
market,outside,city
marsh,outside,nature
martial_arts_gym,inside,commercial
mausoleum,outside,city
medina,outside,city
monastery,outside,city
motel,outside,city
mountain,outside,nature
mountain_snowy,outside,nature
museum,inside,commercial
music_studio,inside,commercial
nursery,inside,residential
ocean,outside,nature
office,inside,commercial
office_building,outside,city
orchard,outside,nature
pagoda,outside,city
palace,outside,city
pantry,inside,residential
parking_lot,outside,city
parlor,inside,residential
pasture,outside,nature
patio,outside,city
pavilion,outside,city
phone_booth,outside,city
picnic_area,outside,nature
playground,outside,city
plaza,outside,city
pond,outside,nature
pulpit,inside,commercial
racecourse,outside,city
raft,outside,nature
railroad_track,outside,city
rainforest,outside,nature
reception,inside,commercial
residential_neighborhood,outside,residential
restaurant,inside,commercial
restaurant_kitchen,inside,commercial
restaurant_patio,outside,city
rice_paddy,outside,nature
river,outside,nature
rock_arch,outside,nature
rope_bridge,outside,nature
ruin,outside,city
runway,outside,city
sandbar,outside,nature
schoolhouse,outside,city
sea_diff,outside,nature
shed,outside,nature
shoe_shop,inside,commercial
shopfront,outside,city
shower,inside,residential
ski_resort,outside,nature
ski_slope,outside,nature
sky,outside,nature
skyscraper,outside,city
slum,outside,city
snowfield,outside,nature
stadium,outside,city
stage,inside,commercial
staircase,outside,city
subway_station,outside,city
supermarket,inside,commercial
swamp,outside,nature
swimming_pool,outside,city
television_studio,inside,commercial
temple,outside,city
topiary_garden,outside,city
tower,outside,city
track,outside,city
train_railway,outside,city
train_station,outside,city
tree_farm,outside,nature
trench,outside,nature
underwater,outside,nature
valley,outside,nature
vegetable_garden,outside,nature
verenda,outside,city
viaduct,outside,nature
volcano,outside,nature
waiting_room,inside,commercial
water_tower,outside,city
watering_hole,outside,nature
wheat_field,outside,nature
wind_farm,outside,nature
windmill,outside,city
yard,inside,residential
